,Name,PV,PV/pass,Passes,Position,Team,games,rPV/pass,Rating
17,Nemanja Matić,0.8548621765895321,0.0062857512984524425,136.0,Midfield,Serbia,3,0.63,1.2897437445951232
18,Nacer Chadli,1.2055158589143256,0.006278728431845446,192.0,Midfield,Belgium,6,0.63,1.2897437445951232
19,Tom Rogić,0.40151837226647147,0.006273724566663617,64.0,Midfield,Australia,3,0.63,1.2897437445951232
20,Emil Forsberg,0.6705074808173113,0.00644718731555107,104.0,Midfield,Sweden,5,0.63,1.2897437445951232
21,Taisir Jabir Al Jassim,0.43127341152168913,0.006342256051789546,68.0,Midfield,Saudi Arabia,2,0.63,1.2897437445951232
22,Nahitan Michel Nández Acosta,0.8334441631644149,0.006266497467401616,133.0,Midfield,Uruguay,5,0.63,1.2897437445951232
23,Ja-Cheol Koo,0.1515349587342809,0.006313956613928372,24.0,Midfield,South Korea,2,0.63,1.2897437445951232
24,Alex Iwobi,0.15178066701988988,0.006324194459162078,24.0,Midfield,Nigeria,3,0.63,1.2897437445951232
25,Lasse Schöne,0.7648319186644928,0.006269114087413876,122.0,Midfield,Denmark,3,0.63,1.2897437445951232
26,Cristian Gabriel Rodríguez Barrotti,0.5149520151956842,0.006279902624337612,82.0,Midfield,Uruguay,5,0.63,1.2897437445951232
27,Aaron Mooy,1.2963912979700192,0.006293161640631161,206.0,Midfield,Australia,3,0.63,1.2897437445951232
28,Thomas Delaney,1.161538443339919,0.006278586180215778,185.0,Midfield,Denmark,4,0.63,1.2897437445951232
29,Corentin Tolisso,0.8529772795083245,0.006318350218580181,135.0,Midfield,France,5,0.63,1.2897437445951232
30,Ghilane Chalali,0.49827057711173245,0.0063072224950852206,79.0,Midfield,Panama,1,0.63,1.2897437445951232
31,Takashi Inui,0.8050415317111322,0.006338909698512852,127.0,Midfield,Japan,4,0.63,1.2897437445951232
32,Vahid Amiri,0.4458916589419819,0.006280164210450449,71.0,Midfield,Spain,3,0.63,1.2897437445951232
33,Luis Fernando Muriel Fruto,0.18909150292077084,0.006303050097359028,30.0,Midfield,England,2,0.63,1.2897437445951232
34,Carlos Alberto Sánchez Moreno,0.4795696016632495,0.006310126337674336,76.0,Midfield,Colombia,3,0.63,1.2897437445951232
35,Carlos Andrés Sánchez Arcosa,0.47439994631342725,0.006325332617512364,75.0,Midfield,Portugal,3,0.63,1.2897437445951232
36,Luka Milivojević,0.464774020694237,0.0062807300093815814,74.0,Midfield,Serbia,2,0.63,1.2897437445951232
37,Mile Jedinak,1.0858077265449544,0.006276345240144245,173.0,Midfield,Australia,3,0.63,1.2897437445951232
38,Bruno Miguel Borges Fernandes,0.21395614343205974,0.006292827748001757,34.0,Midfield,Portugal,2,0.63,1.2897437445951232
39,Sergej Milinković-Savić,0.7169096552321842,0.006288681186247229,114.0,Midfield,Serbia,3,0.63,1.2897437445951232
40,Jacek Góralski,0.4203898905131293,0.0062744759778079005,67.0,Midfield,Poland,2,0.63,1.2897437445951232
41,Nabil Fekir,0.2529002660004012,0.0063225066500100305,40.0,Midfield,France,6,0.63,1.2897437445951232
42,Rodrigo Bentancur Colmán,1.4359156523482899,0.006325619613869118,227.0,Midfield,Uruguay,5,0.63,1.2897437445951232
43,Jordan Brian Henderson,1.9025946126167443,0.006299982160982597,302.0,Midfield,England,5,0.63,1.2897437445951232
44,Fabian Delph,0.9598586817866895,0.006314859748596642,152.0,Midfield,England,4,0.63,1.2897437445951232
45,Mohamed Amine Ben Amor,0.03285317214050221,0.006570634428100441,5.0,Midfield,Tunisia,1,0.63,1.2897437445951232
46,Viktor Fischer,0.053936350266741824,0.006742043783342728,8.0,Midfield,Denmark,1,0.63,1.2897437445951232
47,Renato Soares de Oliveira Augusto,0.30624603467477,0.006380125722391042,48.0,Midfield,Brazil,3,0.63,1.2897437445951232
48,Jorge Resurrección Merodio,1.690329794894889,0.006260480721832922,270.0,Midfield,Spain,3,0.63,1.2897437445951232
49,Youri Tielemans,0.7186964850049756,0.006304355131622593,114.0,Midfield,Belgium,4,0.63,1.2897437445951232
50,Matías Vecino Falero,1.6697704526048895,0.00627733252858981,266.0,Midfield,Uruguay,5,0.63,1.2897437445951232
51,Bamidele Alli,1.0024577122467104,0.006344669064852598,158.0,Midfield,England,5,0.63,1.2897437445951232
52,Omid Ebrahimi,0.45145900941074646,0.006270264019593701,72.0,Midfield,Iran,3,0.63,1.2897437445951232
53,Kieran Trippier,2.4914226507564416,0.006339497839074915,393.0,Midfield,England,6,0.63,1.2897437445951232
54,William Silva de Carvalho,1.5727514505699904,0.006265942034143388,251.0,Midfield,Portugal,4,0.63,1.2897437445951232
55,Adrien Sebastian Perruchet Silva,1.0034215769348693,0.0062713848558429335,160.0,Midfield,Portugal,3,0.63,1.2897437445951232
56,Antoine Griezmann,1.5611986474820876,0.006295155836621321,248.0,Midfield,France,7,0.63,1.2897437445951232
57,Martin Olsson,0.08271778723352238,0.006362906710270953,13.0,Midfield,Sweden,2,0.63,1.2897437445951232
58,Gaku Shibasaki,1.551362414455843,0.00633209148757487,245.0,Midfield,Japan,4,0.63,1.2897437445951232
59,Ashley Young,1.5431005068944368,0.006324182405305068,244.0,Midfield,England,5,0.63,1.2897437445951232
60,Jae-Sung Lee,0.7300510953981498,0.006403956977176753,114.0,Midfield,South Korea,3,0.63,1.2897437445951232
61,Trent Alexander-Arnold,0.4142657404893099,0.006276753643777423,66.0,Midfield,England,1,0.63,1.2897437445951232
62,Saeid Ezatolahi Afagh,0.2772547173883121,0.006301243577007093,44.0,Midfield,Spain,2,0.63,1.2897437445951232
63,Gotoku Sakai,0.10959865740532303,0.006446979847371943,17.0,Midfield,Japan,1,0.63,1.2897437445951232
64,Shinji Okazaki,0.1182118475307408,0.006567324862818933,18.0,Midfield,Japan,3,0.63,1.2897437445951232
65,Albin Ekdal,1.0625610061274031,0.006324767893615494,168.0,Midfield,Sweden,5,0.63,1.2897437445951232
66,Moussa Sidi Yaya Dembélé,0.6934828905569426,0.006304389914154023,110.0,Midfield,Belgium,4,0.63,1.2897437445951232
67,Jesse Lingard,1.4440330905955077,0.0063334784675241566,228.0,Midfield,England,6,0.63,1.2897437445951232
68,Ruben Loftus-Cheek,0.8113400202394057,0.006289457521235703,129.0,Midfield,Belgium,4,0.63,1.2897437445951232
69,Ramin Rezaeian,0.6326581677050728,0.006263942254505671,101.0,Back,Iran,3,0.63,1.2228232535164383
70,Danny Rose,0.6675554801394051,0.006297693208862313,106.0,Back,England,5,0.63,1.2228232535164383
71,Mathias Jattah-Njie Jørgensen,0.6305174318504125,0.006305174318504125,100.0,Back,Denmark,3,0.63,1.2228232535164383
72,Branislav Ivanović,0.6390283493303387,0.006264983816964105,102.0,Back,Serbia,2,0.63,1.2228232535164383
73,Abdullahi Shehu,0.20362094076283443,0.006363154398838576,32.0,Back,Nigeria,1,0.63,1.2228232535164383
74,Niklas Süle,0.5403798668759263,0.006283486824138678,86.0,Back,Germany,1,0.63,1.2228232535164383
75,Ali Albulayhi,0.26949267943492455,0.006416492367498204,42.0,Back,Saudi Arabia,1,0.63,1.2228232535164383
76,Francisco Javier Calvo Quesada,0.3473663520717512,0.006315751855850022,55.0,Back,Costa Rica,2,0.63,1.2228232535164383
77,Danilo Luiz da Silva,0.3613938667995806,0.006340243277185624,57.0,Back,Brazil,1,0.63,1.2228232535164383
78,Emil Krafth,0.36166407302813286,0.006344983737335664,57.0,Back,Sweden,2,0.63,1.2228232535164383
79,Antonio Rukavina,0.28457093610168815,0.006323798580037515,45.0,Back,Serbia,2,0.63,1.2228232535164383
80,Oscar Fabián Murillo Murillo,0.28417849252217775,0.00631507761160395,45.0,Back,Colombia,1,0.63,1.2228232535164383
81,Milos Veljkovic,0.278190951768843,0.006322521631110068,44.0,Back,Serbia,1,0.63,1.2228232535164383
82,Min-Woo Kim,0.40875148365526537,0.006386741932113521,64.0,Back,South Korea,2,0.63,1.2228232535164383
83,Johan Danon Djourou-Gbadjere,0.41484874963887874,0.006285587115740587,66.0,Back,Switzerland,1,0.63,1.2228232535164383
84,Oussama Haddadi,0.2649990102378373,0.00630950024375803,42.0,Back,Panama,1,0.63,1.2228232535164383
85,Rami Bedoui,0.523597240654431,0.006308400489812422,83.0,Back,Tunisia,1,0.63,1.2228232535164383
86,Leander Dendoncker,0.4393861071146009,0.006276944387351441,70.0,Back,Belgium,1,0.63,1.2228232535164383
87,Seyed Majid Hosseini,0.25177097057861353,0.006294274264465338,40.0,Back,Iran,3,0.63,1.2228232535164383
88,Luis Carlos Ovalle Victoria,0.22715779414113788,0.006309938726142719,36.0,Back,Tunisia,1,0.63,1.2228232535164383
89,Benjamin Mendy,0.22269758829342498,0.006362788236954999,35.0,Back,France,1,0.63,1.2228232535164383
90,Bartosz Bereszyński,0.49096050716429784,0.006294365476465357,78.0,Back,Poland,3,0.63,1.2228232535164383
91,Kamil Glik,0.495570301866065,0.006353465408539294,78.0,Back,Poland,2,0.63,1.2228232535164383
92,Adolfo Abdiel Machado,0.20191587721645046,0.006309871163014077,32.0,Back,Panama,1,0.63,1.2228232535164383
93,Thomas Vermaelen,0.5037160544152237,0.006296450680190297,80.0,Back,Belgium,3,0.63,1.2228232535164383
94,Jonas Hector,0.6708389062970989,0.006269522488757933,107.0,Back,Germany,2,0.63,1.2228232535164383
95,Jonas Knudsen,0.32940417344204254,0.006334695643116202,52.0,Back,Denmark,1,0.63,1.2228232535164383
96,Lucas Hernández Pi,1.7271985305762712,0.006257965690493736,276.0,Back,France,7,0.63,1.2228232535164383
97,Maya Yoshida,1.8189431598877799,0.006272217792716482,290.0,Back,Japan,4,0.63,1.2228232535164383
98,Mark Milligan,1.5661641569030353,0.006289815891176849,249.0,Back,Australia,3,0.63,1.2228232535164383
99,Kléper Laveran Lima Ferreira,1.0467182134744593,0.0062677737333799955,167.0,Back,Portugal,4,0.63,1.2228232535164383
100,José Martín Cáceres Silva,1.6103858743877117,0.0062660928964502404,257.0,Back,Uruguay,5,0.63,1.2228232535164383
101,Cédric Ricardo Alves Soares,1.0183330182413728,0.0063250498027414455,161.0,Back,Portugal,3,0.63,1.2228232535164383
102,Victor Nilsson Lindelöf,0.6856064314474779,0.006289967260986036,109.0,Back,Sweden,4,0.63,1.2228232535164383
103,Josh Risdon,0.9677856573592976,0.006284322450385049,154.0,Back,Australia,3,0.63,1.2228232535164383
104,José Miguel da Rocha Fonte,1.113859518716405,0.00629299163116613,177.0,Back,Portugal,4,0.63,1.2228232535164383
105,Phil Jones,0.9168658284187611,0.006323212609784559,145.0,Back,England,2,0.63,1.2228232535164383
106,Aleksandar Kolarov,0.8659724324223059,0.006275162553784825,138.0,Back,Serbia,3,0.63,1.2228232535164383
107,Mikael Lustig,0.8530147133440403,0.006365781442865972,134.0,Back,Sweden,4,0.63,1.2228232535164383
108,Dylan Bronn,0.33291888978424733,0.006281488486495233,53.0,Back,Tunisia,2,0.63,1.2228232535164383
109,Medhi Amine El Mouttaqi Benatia,0.7963896092335876,0.006270784324673918,127.0,Back,Iran,2,0.63,1.2228232535164383
110,Andreas Granqvist,1.084856521252547,0.006344190182763432,171.0,Back,Sweden,5,0.63,1.2228232535164383
111,Aziz Eraltay Behich,1.1334367408150183,0.006296870782305657,180.0,Back,Australia,3,0.63,1.2228232535164383
112,John Stones,3.0225248354594147,0.006310072725384999,479.0,Back,England,7,0.63,1.2228232535164383
113,Diego Roberto Godín Leal,1.4026631638041265,0.0062618891241255645,224.0,Back,Uruguay,5,0.63,1.2228232535164383
114,Nikola Milenković,0.7359440442717878,0.0062901200365110075,117.0,Back,Serbia,3,0.63,1.2228232535164383
115,Guillermo Varela Olivera,0.7236195656495622,0.006347540049557563,114.0,Back,Uruguay,2,0.63,1.2228232535164383
116,Ludwig Augustinsson,1.1478987870071071,0.00634198224865805,181.0,Back,Sweden,5,0.63,1.2228232535164383
117,Trent Sainsbury,1.2015260978479816,0.006290712554177914,191.0,Back,Australia,3,0.63,1.2228232535164383
118,Kyle Walker,2.42231210120662,0.006291719743393819,385.0,Back,England,5,0.63,1.2228232535164383
119,Harry Maguire,2.740450907768803,0.006314403013292173,434.0,Back,England,7,0.63,1.2228232535164383
120,José María Giménez de Vargas,1.0748953967692312,0.006322914098642537,170.0,Back,Uruguay,4,0.63,1.2228232535164383
121,Martin Braithwaite Christensen,0.34015782900639957,0.006299219055674066,54.0,Wing,Denmark,4,0.63,0.9204022738827388
122,Thomas Lemar,0.34499910541455164,0.006388872322491697,54.0,Wing,France,1,0.63,0.9204022738827388
123,Harry Kane,0.936790148778507,0.006329663167422344,148.0,Forward,England,6,0.63,0.9204022738827388
124,Alireza Jahanbakhsh,0.308025391385777,0.006286232477260755,49.0,Wing,Spain,3,0.63,0.9204022738827388
125,Mehdi Taremi,0.2775107801722397,0.00630706318573272,44.0,Wing,Iran,3,0.63,0.9204022738827388
126,Sardar Azmoun,0.3644619777231124,0.006283827202122627,58.0,Forward,Iran,3,0.63,0.9204022738827388
127,Andreas Evald Cornelius,0.22132818682860414,0.006323662480817261,35.0,Forward,Denmark,3,0.63,0.9204022738827388
128,André Miguel Valente Silva,0.19641577966317675,0.00633599289236054,31.0,Forward,Portugal,3,0.63,0.9204022738827388
129,Seung-Woo Lee,0.1746232801894534,0.006467528895905681,27.0,Wing,South Korea,2,0.63,0.9204022738827388
130,José Heriberto Izquierdo Mena,0.15786570575113443,0.006314628230045377,25.0,Wing,Colombia,1,0.63,0.9204022738827388
131,Mohammed Kanoo,0.06416536664480255,0.006416536664480254,10.0,Wing,Uruguay,1,0.63,0.9204022738827388
132,Sławomir Peszko,0.076164451274479,0.006924041024952637,11.0,Wing,Poland,1,0.63,0.9204022738827388
133,Thorgan Hazard,0.3578922558008523,0.006278811505278111,57.0,Wing,Belgium,2,0.63,0.9204022738827388
134,Yūya Ōsako,0.48735733024654543,0.006329315977227862,77.0,Forward,Japan,4,0.63,0.9204022738827388
135,Aleksandar Mitrović,0.39553989824352526,0.00627841108323056,63.0,Forward,Serbia,3,0.63,0.9204022738827388
136,Ousmane Dembélé,0.4556445003211282,0.006328395837793447,72.0,Wing,France,4,0.63,0.9204022738827388
137,Kylian Mbappé Lottin,1.087716043597957,0.006287375974554664,173.0,Wing,France,7,0.63,0.9204022738827388
138,Christian Dannemann Eriksen,1.157442924673888,0.006290450677575478,184.0,Striker,Denmark,4,0.63,0.9204022738827388
139,Xherdan Shaqiri,1.2326270279148936,0.006256989989415704,197.0,Wing,Switzerland,4,0.63,0.9204022738827388
140,Luis Alberto Suárez Díaz,0.8721148663668242,0.006274207671703771,139.0,Forward,Uruguay,5,0.63,0.9204022738827388
141,Willian Borges da Silva,1.236016953085388,0.006274197731397908,197.0,Wing,Brazil,5,0.63,0.9204022738827388
142,Raheem Shaquille Sterling,0.8508868865966505,0.006302865826641855,135.0,Forward,England,6,0.63,0.9204022738827388
143,Cristiano Ronaldo dos Santos Aveiro,0.7078383292616158,0.0062640560111647415,113.0,Forward,Portugal,4,0.63,0.9204022738827388
144,Neymar da Silva Santos Junior,1.7705267163456246,0.006256278149631182,283.0,Wing,Brazil,5,0.63,0.9204022738827388
145,Artem Dzyuba,0.6649369578080232,0.006272990168000219,106.0,Forward,Russia,5,0.63,0.9204022738827388
146,Gabriel Fernando de Jesus,0.5966119118972483,0.006280125388392087,95.0,Forward,Brazil,5,0.63,0.9204022738827388
147,Marcus Rashford,0.5628469532796812,0.006324123070558216,89.0,Forward,England,6,0.63,0.9204022738827388
148,Pione Sisto Ifolo Emirmija,0.548355573793299,0.0063029376298080345,87.0,Wing,Denmark,4,0.63,0.9204022738827388
149,Dušan Tadić,0.5465787573940557,0.006282514452805238,87.0,Wing,Serbia,3,0.63,0.9204022738827388
150,Edinson Roberto Cavani Gómez,0.5219688827718852,0.006288781720143195,83.0,Forward,Uruguay,4,0.63,0.9204022738827388
151,Yussuf Yurary Poulsen,0.4961833370664131,0.006280801735017888,79.0,Wing,Croatia,3,0.63,0.9204022738827388
152,Adem Ljajić,0.4853220386235484,0.006302883618487642,77.0,Wing,Serbia,3,0.63,0.9204022738827388
153,Kamil Grosicki,0.46157885245664154,0.006501110597980867,71.0,Wing,Poland,3,0.63,0.9204022738827388
154,Steven Zuber,0.5825727318411459,0.006332312302621151,92.0,Wing,Switzerland,3,0.63,0.9204022738827388
155,Yoshinori Muto,0.10854268837296648,0.006783918023310405,16.0,Forward,Japan,1,0.63,0.9204022738827388
156,Haris Seferović,0.1294530037206863,0.006472650186034315,20.0,Striker,Serbia,3,0.63,0.9204022738827388
157,Mohamed Naser Elsayed Elneny,0.688379928751044,0.006201620979739136,111.0,Midfield,Egypt,3,0.62,-0.42447262480346787
158,David Josué Jiménez Silva,1.3084892725831578,0.006143142124803558,213.0,Midfield,Spain,4,0.62,-0.42447262480346787
159,Jonathan dos Santos Ramírez,0.1419771338383553,0.006172918862537187,23.0,Midfield,Mexico,1,0.62,-0.42447262480346787
160,Arkadiusz Milik,0.14169100242404326,0.006160478366262751,23.0,Midfield,Poland,1,0.62,-0.42447262480346787
161,Roman Zobnin,1.2701292972180298,0.006226124005970735,204.0,Midfield,Egypt,5,0.62,-0.42447262480346787
162,Éver Maximiliano David Banega,1.2897128458060991,0.0061123831554791425,211.0,Midfield,Argentina,3,0.62,-0.42447262480346787
163,Papa Alioune N'Diaye,0.13687159671054555,0.006221436214115707,22.0,Midfield,Senegal,1,0.62,-0.42447262480346787
164,Makoto Hasebe,1.308219925437699,0.006229618692560471,210.0,Midfield,Japan,4,0.62,-0.42447262480346787
165,Fayçal Fajr,0.135099517257515,0.006140887148068864,22.0,Midfield,Morocco,2,0.62,-0.42447262480346787
166,Jesús Manuel Corona Ruíz,0.14722510379426706,0.006134379324761127,24.0,Midfield,Mexico,2,0.62,-0.42447262480346787
167,Héctor Miguel Herrera López,1.3221050136632833,0.006149325644945504,215.0,Midfield,Mexico,4,0.62,-0.42447262480346787
168,Valon Behrami,1.435556901563087,0.006214532041398645,231.0,Midfield,Switzerland,4,0.62,-0.42447262480346787
169,Alan Dzagoev,0.13004405667818217,0.006192574127532484,21.0,Midfield,Russia,2,0.62,-0.42447262480346787
170,William Vitved Kvist Jørgensen,0.12484726188614456,0.006242363094307228,20.0,Midfield,Peru,1,0.62,-0.42447262480346787
171,Christopher Paolo César Hurtado Huertas,0.1188383171211285,0.006254648269533079,19.0,Midfield,Peru,1,0.62,-0.42447262480346787
172,Aleksey Miranchuk,0.11876018548958645,0.006250536078399286,19.0,Midfield,Russia,1,0.62,-0.42447262480346787
173,Daniel Arzani,0.1442205855753734,0.006270460242407539,23.0,Midfield,Australia,3,0.62,-0.42447262480346787
174,Sam Morsy,0.1512925796117135,0.006303857483821396,24.0,Midfield,Egypt,1,0.62,-0.42447262480346787
175,Jackson Irvine,0.09433845960814254,0.006289230640542836,15.0,Midfield,Australia,3,0.62,-0.42447262480346787
176,Rúrik Gíslason,0.20882425457966625,0.006141889840578419,34.0,Midfield,Iceland,2,0.62,-0.42447262480346787
177,Onyinye Wilfred Ndidi,1.0593111936592072,0.006194802302100627,171.0,Midfield,Iceland,3,0.62,-0.42447262480346787
178,Breel-Donald Embolo,0.25594424128105725,0.00609391050669184,42.0,Midfield,Switzerland,3,0.62,-0.42447262480346787
179,Mesut Özil,1.0763737917342482,0.0062218138250534575,173.0,Midfield,Germany,2,0.62,-0.42447262480346787
180,Roberto Firmino Barbosa de Oliveira,0.2544709374020379,0.0062066082293179975,41.0,Midfield,Brazil,4,0.62,-0.42447262480346787
181,Se-Jong Ju,0.2531036590268205,0.006173259976263916,41.0,Midfield,South Korea,2,0.62,-0.42447262480346787
182,Mohamed Salah,0.2521838467514405,0.006150825530522939,41.0,Midfield,Egypt,2,0.62,-0.42447262480346787
183,Jefferson Agustín Farfán Guadalupe,0.2048872857926838,0.0062087056300813275,33.0,Midfield,Peru,2,0.62,-0.42447262480346787
184,Tyronne Ebuehi,0.15349251730044286,0.0061397006920177145,25.0,Midfield,Nigeria,1,0.62,-0.42447262480346787
185,Seon-Min Moon,0.2043396910021547,0.006192111848550143,33.0,Midfield,South Korea,2,0.62,-0.42447262480346787
186,Grzegorz Krychowiak,1.1052804233282685,0.006140446796268158,180.0,Midfield,Poland,3,0.62,-0.42447262480346787
187,Gustav Svensson,0.16767706768819718,0.006210261766229525,27.0,Midfield,Sweden,3,0.62,-0.42447262480346787
188,Juan Fernando Quintero Paniagua,1.1537781431303875,0.006169936594280147,187.0,Midfield,Colombia,4,0.62,-0.42447262480346787
189,Denis Lemi Zakaria Lako Lado,0.15752427619849832,0.006058626007634551,26.0,Midfield,Switzerland,2,0.62,-0.42447262480346787
190,Julian Brandt,0.15609809806502595,0.006243923922601038,25.0,Midfield,Germany,3,0.62,-0.42447262480346787
191,Sebastian Rudy,0.10627780095720209,0.006251635350423652,17.0,Midfield,Germany,1,0.62,-0.42447262480346787
192,Masoud Shojaei Soleimani,0.09336256271307702,0.0062241708475384684,15.0,Midfield,Iran,1,0.62,-0.42447262480346787
193,Rafael Márquez Álvarez,0.2597410149141329,0.006184309878907925,42.0,Midfield,Mexico,3,0.62,-0.42447262480346787
194,Yeltsin Ignacio Tejeda Valverde,0.030456310379677914,0.0060912620759355825,5.0,Midfield,Costa Rica,1,0.62,-0.42447262480346787
195,Toni Kroos,2.0144137563109865,0.006236575096938039,323.0,Midfield,Germany,3,0.62,-0.42447262480346787
196,Abdiel Arroyo Molinar,0.03735670559214215,0.006226117598690358,6.0,Midfield,Panama,2,0.62,-0.42447262480346787
197,Philippe Coutinho Correia,2.0288201676574453,0.00624252359279214,325.0,Midfield,Brazil,5,0.62,-0.42447262480346787
198,Granit Xhaka,2.1402656333109507,0.006185738824598123,346.0,Midfield,Switzerland,4,0.62,-0.42447262480346787
199,Saman Ghoddos,0.03151364371177373,0.006302728742354746,5.0,Midfield,Iran,3,0.62,-0.42447262480346787
200,N'Golo Kanté,2.2036938383902567,0.006242758748980897,353.0,Midfield,France,7,0.62,-0.42447262480346787
201,Ivan Rakitić,2.6305683785098983,0.006175043142042015,426.0,Midfield,Croatia,7,0.62,-0.42447262480346787
202,Marco Jhonfai Fabián De La Mora,0.09173046771936673,0.006115364514624449,15.0,Midfield,Mexico,1,0.62,-0.42447262480346787
203,Francisco Román Alarcón Suárez,2.9225105486694236,0.00615265378667247,475.0,Midfield,Spain,4,0.62,-0.42447262480346787
204,Jimmy Durmaz,0.025040436778809252,0.006260109194702313,4.0,Midfield,Sweden,1,0.62,-0.42447262480346787
205,Luka Modrić,3.24923408704099,0.006165529576927875,527.0,Midfield,Croatia,7,0.62,-0.42447262480346787
206,Wilder José Cartagena Mendoza,0.0250112611794444,0.0062528152948611,4.0,Midfield,Peru,1,0.62,-0.42447262480346787
207,Yo-Han Ko,0.018850157705399936,0.006283385901799978,3.0,Midfield,South Korea,1,0.62,-0.42447262480346787
208,Giovani dos Santos Ramírez,0.01843963853702246,0.006146546179007486,3.0,Midfield,Mexico,1,0.62,-0.42447262480346787
209,Axel Witsel,2.0034848000480188,0.006164568615532365,325.0,Midfield,Belgium,6,0.62,-0.42447262480346787
210,Sergio Busquets i Burgos,1.9201181751729175,0.006154224920426017,312.0,Midfield,Spain,4,0.62,-0.42447262480346787
211,Ari Freyr Skúlason,0.04307281108322878,0.00615325872617554,7.0,Midfield,Iceland,2,0.62,-0.42447262480346787
212,Ahmed Khalil,0.044148101721960646,0.006306871674565806,7.0,Midfield,Tunisia,1,0.62,-0.42447262480346787
213,Łukasz Teodorczyk,0.04997222134950088,0.00624652766868761,8.0,Midfield,Poland,2,0.62,-0.42447262480346787
214,Paul Pogba,1.892808818273852,0.006205930551717548,305.0,Midfield,Peru,6,0.62,-0.42447262480346787
215,Oscar Hiljemark,0.05357934138628275,0.005953260154031417,9.0,Midfield,Sweden,2,0.62,-0.42447262480346787
216,Gelson Dany Batalha Martins,0.05750529395532118,0.006389477106146798,9.0,Midfield,Portugal,1,0.62,-0.42447262480346787
217,Manuel Henrique Tavares Fernandes,0.0608002259032847,0.00608002259032847,10.0,Midfield,Portugal,1,0.62,-0.42447262480346787
218,Paulo Bruno Exequiel Dybala,0.06485804907140029,0.005896186279218208,11.0,Midfield,Argentina,1,0.62,-0.42447262480346787
219,Filip Bradarić,0.06805702790703688,0.006187002537003353,11.0,Midfield,Croatia,1,0.62,-0.42447262480346787
220,Salman Mohammed Al Faraj,1.656244051936387,0.006226481398257094,266.0,Midfield,Saudi Arabia,3,0.62,-0.42447262480346787
221,Carlos Henrique Casimiro,1.604977434012566,0.006220842767490566,258.0,Midfield,Brazil,4,0.62,-0.42447262480346787
222,Michael Krohn-Dehli,0.06977897245908324,0.006343542950825749,11.0,Midfield,Denmark,1,0.62,-0.42447262480346787
223,Abdullah Ibrahim Otayf,1.5998344288557198,0.006225036688154551,257.0,Midfield,Egypt,3,0.62,-0.42447262480346787
224,Abel Enrique Aguilar Tapia,0.0766398064827162,0.005895369729439708,13.0,Midfield,Colombia,1,0.62,-0.42447262480346787
225,Andrija Živković,0.0821930631134241,0.006322543316417239,13.0,Midfield,Serbia,1,0.62,-0.42447262480346787
226,Keisuke Honda,0.2565136725835626,0.006256431038623478,41.0,Midfield,Japan,3,0.62,-0.42447262480346787
227,Lucas Vázquez Iglesias,0.2618367805851162,0.006234209061550386,42.0,Midfield,Spain,2,0.62,-0.42447262480346787
228,Gylfi Þór Sigurðsson,0.6713897709292552,0.006159539182837204,109.0,Midfield,Iceland,3,0.62,-0.42447262480346787
229,Yury Gazinskiy,0.785996365770052,0.006238066395000413,126.0,Midfield,Russia,4,0.62,-0.42447262480346787
230,Ángel Fabián Di María Hernández,0.5387478379202205,0.006122134521820688,88.0,Midfield,Argentina,3,0.62,-0.42447262480346787
